Seq_id	Size	Description
1	11029	Anc0.Anc0refChr133
2	1145	Anc0.Anc0refChr266
3	11866	Anc0.Anc0refChr302
4	32723	Anc0.Anc0refChr124
7	14599	Anc0.Anc0refChr274
8	1696	Anc0.Anc0refChr27
9	7118	Anc0.Anc0refChr30
10	22599	Anc0.Anc0refChr107
11	3883	Anc0.Anc0refChr87
12	4748	Anc0.Anc0refChr179
15	9743	Anc0.Anc0refChr283
17	972	Anc0.Anc0refChr91
18	4239	Anc0.Anc0refChr93
22	6416	Anc0.Anc0refChr138
24	5301	Anc0.Anc0refChr265
25	11061	Anc0.Anc0refChr228
26	976	Anc0.Anc0refChr57
27	10136	Anc0.Anc0refChr210
28	1235	Anc0.Anc0refChr14
30	19171	Anc0.Anc0refChr264
31	1771	Anc0.Anc0refChr89
33	3546	Anc0.Anc0refChr305
34	4095	Anc0.Anc0refChr209
35	13133	Anc0.Anc0refChr311
36	28135	Anc0.Anc0refChr111
37	849	Anc0.Anc0refChr206
38	1833	Anc0.Anc0refChr194
39	4888	Anc0.Anc0refChr1
40	11533	Anc0.Anc0refChr84
41	1065	Anc0.Anc0refChr62
42	3525	Anc0.Anc0refChr287
43	6161	Anc0.Anc0refChr226
44	26564	Anc0.Anc0refChr4
46	21634	Anc0.Anc0refChr102
47	15373	Anc0.Anc0refChr310
48	13783	Anc0.Anc0refChr6
52	3877	Anc0.Anc0refChr82
53	10609	Anc0.Anc0refChr285
54	26872	Anc0.Anc0refChr294
56	9297	Anc0.Anc0refChr281
59	1166	Anc0.Anc0refChr29
60	17144	Anc0.Anc0refChr119
61	8588	Anc0.Anc0refChr117
62	2232	Anc0.Anc0refChr291
63	19446	Anc0.Anc0refChr292
64	1609	Anc0.Anc0refChr115
66	27408	Anc0.Anc0refChr112
67	18125	Anc0.Anc0refChr190
68	14213	Anc0.Anc0refChr23
69	14521	Anc0.Anc0refChr225
70	19033	Anc0.Anc0refChr137
71	18583	Anc0.Anc0refChr224
72	13497	Anc0.Anc0refChr88
73	7709	Anc0.Anc0refChr188
74	36382	Anc0.Anc0refChr171
75	8934	Anc0.Anc0refChr189
77	15643	Anc0.Anc0refChr193
78	18776	Anc0.Anc0refChr83
80	23334	Anc0.Anc0refChr286
81	1249	Anc0.Anc0refChr71
84	20403	Anc0.Anc0refChr12
86	1968	Anc0.Anc0refChr175
87	16382	Anc0.Anc0refChr101
89	9680	Anc0.Anc0refChr34
93	26648	Anc0.Anc0refChr48
94	4007	Anc0.Anc0refChr11
95	8872	Anc0.Anc0refChr330
96	4084	Anc0.Anc0refChr181
97	34166	Anc0.Anc0refChr39
98	39895	Anc0.Anc0refChr26
99	35671	Anc0.Anc0refChr289
101	13100	Anc0.Anc0refChr221
102	15598	Anc0.Anc0refChr131
103	79398	Anc0.Anc0refChr10
104	59073	Anc0.Anc0refChr186
105	4648	Anc0.Anc0refChr321
108	43107	Anc0.Anc0refChr7
109	1914	Anc0.Anc0refChr116
110	5384	Anc0.Anc0refChr81
111	7384	Anc0.Anc0refChr324
112	28570	Anc0.Anc0refChr86
113	4673	Anc0.Anc0refChr33
114	87318	Anc0.Anc0refChr130
115	29513	Anc0.Anc0refChr277
117	28540	Anc0.Anc0refChr110
119	585	Anc0.Anc0refChr64
120	7936	Anc0.Anc0refChr109
122	4558	Anc0.Anc0refChr312
125	2086	Anc0.Anc0refChr40
126	64203	Anc0.Anc0refChr129
127	24423	Anc0.Anc0refChr17
